time,mean,climatology,anomaly
1940-01-01 00:00:00+00:00,19818.43,20204.1,-385.66
1940-01-02 00:00:00+00:00,19807.26,20203.27,-396.01
1940-01-03 00:00:00+00:00,19874.95,20202.8,-327.85
1940-01-04 00:00:00+00:00,19980.55,20202.53,-221.98
1940-01-05 00:00:00+00:00,20071.82,20202.38,-130.57
1940-01-06 00:00:00+00:00,20133.11,20202.41,-69.3
1940-01-07 00:00:00+00:00,20159.87,20202.46,-42.59
1940-01-08 00:00:00+00:00,20156.49,20202.76,-46.27
1940-01-09 00:00:00+00:00,20148.41,20202.9,-54.49
1940-01-10 00:00:00+00:00,20108.74,20202.66,-93.91
1940-01-11 00:00:00+00:00,20068.46,20202.2,-133.74
1940-01-12 00:00:00+00:00,20069.84,20201.98,-132.15
1940-01-13 00:00:00+00:00,20060.11,20202.15,-142.04
1940-01-14 00:00:00+00:00,19997.29,20202.36,-205.07
1940-01-15 00:00:00+00:00,19889.27,20202.85,-313.58
1940-01-16 00:00:00+00:00,19814.85,20203.69,-388.84
1940-01-17 00:00:00+00:00,19702.6,20204.85,-502.24
1940-01-18 00:00:00+00:00,19590.32,20206.02,-615.7
1940-01-19 00:00:00+00:00,19548.65,20207.21,-658.56
1940-01-20 00:00:00+00:00,19569.31,20208.46,-639.16
1940-01-21 00:00:00+00:00,19561.67,20209.51,-647.84
1940-01-22 00:00:00+00:00,19502.47,20210.54,-708.07
1940-01-23 00:00:00+00:00,19588.22,20211.51,-623.3
1940-01-24 00:00:00+00:00,19796.58,20212.42,-415.84
1940-01-25 00:00:00+00:00,19957.07,20213.6,-256.54
1940-01-26 00:00:00+00:00,19997.79,20215.48,-217.69
1940-01-27 00:00:00+00:00,20023.93,20217.67,-193.73
1940-01-28 00:00:00+00:00,19990.96,20219.66,-228.7
1940-01-29 00:00:00+00:00,19929.95,20221.09,-291.14
1940-01-30 00:00:00+00:00,19911.41,20222.2,-310.79
1940-01-31 00:00:00+00:00,19914.44,20222.91,-308.47
1940-02-01 00:00:00+00:00,19954.5,20223.35,-268.86
1940-02-02 00:00:00+00:00,20018.37,20223.95,-205.58
1940-02-03 00:00:00+00:00,20055.33,20224.39,-169.06
1940-02-04 00:00:00+00:00,20036.54,20225.11,-188.57
1940-02-05 00:00:00+00:00,20035.32,20226.7,-191.38
1940-02-06 00:00:00+00:00,20038.01,20229.15,-191.14
1940-02-07 00:00:00+00:00,20020.88,20231.79,-210.91
1940-02-08 00:00:00+00:00,20026.5,20234.41,-207.91
1940-02-09 00:00:00+00:00,19990.45,20236.89,-246.43
1940-02-10 00:00:00+00:00,19942.37,20239.14,-296.77
1940-02-11 00:00:00+00:00,19936.18,20241.11,-304.93
1940-02-12 00:00:00+00:00,19954.27,20243.09,-288.82
1940-02-13 00:00:00+00:00,19939.73,20245.21,-305.47
1940-02-14 00:00:00+00:00,19915.53,20247.41,-331.88
1940-02-15 00:00:00+00:00,19902.11,20249.24,-347.13
1940-02-16 00:00:00+00:00,19905.02,20250.96,-345.94
1940-02-17 00:00:00+00:00,19932.94,20252.89,-319.94
1940-02-18 00:00:00+00:00,19992.41,20254.95,-262.54
1940-02-19 00:00:00+00:00,20068.67,20257.06,-188.39
1940-02-20 00:00:00+00:00,20179.95,20259.3,-79.35
1940-02-21 00:00:00+00:00,20255.08,20261.7,-6.62
1940-02-22 00:00:00+00:00,20248.92,20264.12,-15.2
1940-02-23 00:00:00+00:00,20177.58,20266.69,-89.11
1940-02-24 00:00:00+00:00,20103.06,20269.58,-166.52
1940-02-25 00:00:00+00:00,20178.82,20272.53,-93.71
1940-02-26 00:00:00+00:00,20257.6,20275.52,-17.92
1940-02-27 00:00:00+00:00,20278.35,20278.74,-0.39
1940-02-28 00:00:00+00:00,20301.91,20282.3,19.61
