time,mean,min,max,source,climatology,anomaly
1940-01-01 00:00:00+00:00,-0.28,-4.1,2.72,ERA5,3.96,-4.24
1940-01-02 00:00:00+00:00,-4.53,-7.17,-1.21,ERA5,3.93,-8.46
1940-01-03 00:00:00+00:00,-2.15,-5.79,1.5,ERA5,3.9,-6.05
1940-01-04 00:00:00+00:00,-0.05,-4.01,4.52,ERA5,3.88,-3.93
1940-01-05 00:00:00+00:00,-1.13,-5.16,3.97,ERA5,3.87,-5.0
1940-01-06 00:00:00+00:00,1.17,-2.71,5.02,ERA5,3.86,-2.68
1940-01-07 00:00:00+00:00,1.93,0.76,2.93,ERA5,3.85,-1.93
1940-01-08 00:00:00+00:00,2.42,-0.86,4.45,ERA5,3.84,-1.42
1940-01-09 00:00:00+00:00,-1.78,-4.6,-0.06,ERA5,3.84,-5.62
1940-01-10 00:00:00+00:00,-4.6,-6.64,-1.45,ERA5,3.83,-8.43
1940-01-11 00:00:00+00:00,-5.78,-7.9,-3.31,ERA5,3.82,-9.6
1940-01-12 00:00:00+00:00,-4.89,-7.91,-2.03,ERA5,3.81,-8.7
1940-01-13 00:00:00+00:00,-3.16,-5.61,-1.2,ERA5,3.8,-6.96
1940-01-14 00:00:00+00:00,-0.98,-2.94,1.04,ERA5,3.79,-4.77
1940-01-15 00:00:00+00:00,-0.59,-1.88,1.07,ERA5,3.78,-4.37
1940-01-16 00:00:00+00:00,-1.91,-8.94,0.91,ERA5,3.79,-5.7
1940-01-17 00:00:00+00:00,-8.13,-10.24,-4.17,ERA5,3.79,-11.92
1940-01-18 00:00:00+00:00,-2.27,-10.52,2.49,ERA5,3.78,-6.05
1940-01-19 00:00:00+00:00,-8.19,-16.03,-3.59,ERA5,3.75,-11.94
1940-01-20 00:00:00+00:00,-8.63,-13.9,-5.47,ERA5,3.76,-12.39
1940-01-21 00:00:00+00:00,-4.98,-7.49,-3.43,ERA5,3.76,-8.74
1940-01-22 00:00:00+00:00,-8.55,-14.95,-4.78,ERA5,3.74,-12.29
1940-01-23 00:00:00+00:00,-5.1,-13.61,0.52,ERA5,3.73,-8.82
1940-01-24 00:00:00+00:00,-6.29,-14.15,-3.31,ERA5,3.72,-10.01
1940-01-25 00:00:00+00:00,-9.0,-14.1,-3.85,ERA5,3.74,-12.74
1940-01-26 00:00:00+00:00,-3.92,-9.26,0.01,ERA5,3.76,-7.69
1940-01-27 00:00:00+00:00,-1.58,-6.61,0.61,ERA5,3.79,-5.38
1940-01-28 00:00:00+00:00,-5.56,-8.35,-2.98,ERA5,3.83,-9.39
1940-01-29 00:00:00+00:00,-6.89,-9.37,-4.52,ERA5,3.87,-10.76
1940-01-30 00:00:00+00:00,-3.88,-7.32,1.24,ERA5,3.89,-7.77
1940-01-31 00:00:00+00:00,1.97,1.37,2.71,ERA5,3.9,-1.93
1940-02-01 00:00:00+00:00,0.83,-1.38,3.23,ERA5,3.93,-3.11
1940-02-02 00:00:00+00:00,0.21,-0.99,1.83,ERA5,3.96,-3.75
1940-02-03 00:00:00+00:00,2.44,0.37,4.55,ERA5,3.99,-1.55
1940-02-04 00:00:00+00:00,3.3,0.27,6.64,ERA5,4.03,-0.73
1940-02-05 00:00:00+00:00,6.74,4.11,9.55,ERA5,4.07,2.67
1940-02-06 00:00:00+00:00,5.68,4.32,7.2,ERA5,4.12,1.56
1940-02-07 00:00:00+00:00,6.12,4.73,8.24,ERA5,4.16,1.95
1940-02-08 00:00:00+00:00,4.99,2.17,7.7,ERA5,4.2,0.79
1940-02-09 00:00:00+00:00,-0.38,-2.89,2.24,ERA5,4.23,-4.61
1940-02-10 00:00:00+00:00,-5.17,-7.09,-3.09,ERA5,4.27,-9.44
1940-02-11 00:00:00+00:00,-3.86,-5.95,-1.86,ERA5,4.31,-8.17
1940-02-12 00:00:00+00:00,-7.71,-9.82,-5.26,ERA5,4.35,-12.06
1940-02-13 00:00:00+00:00,-10.36,-13.63,-7.82,ERA5,4.39,-14.75
1940-02-14 00:00:00+00:00,-8.77,-13.55,-4.54,ERA5,4.46,-13.22
1940-02-15 00:00:00+00:00,-4.7,-8.05,-0.76,ERA5,4.52,-9.22
1940-02-16 00:00:00+00:00,-2.06,-4.03,-0.42,ERA5,4.58,-6.63
1940-02-17 00:00:00+00:00,-1.34,-5.16,2.1,ERA5,4.62,-5.97
1940-02-18 00:00:00+00:00,-2.65,-7.35,0.22,ERA5,4.68,-7.32
1940-02-19 00:00:00+00:00,0.52,-1.18,4.59,ERA5,4.72,-4.2
1940-02-20 00:00:00+00:00,3.61,-2.2,7.17,ERA5,4.77,-1.15
1940-02-21 00:00:00+00:00,7.13,4.02,12.17,ERA5,4.83,2.3
1940-02-22 00:00:00+00:00,8.19,4.49,12.92,ERA5,4.89,3.3
1940-02-23 00:00:00+00:00,8.85,7.11,11.38,ERA5,4.96,3.89
1940-02-24 00:00:00+00:00,8.01,4.73,9.3,ERA5,5.03,2.97
1940-02-25 00:00:00+00:00,5.38,1.35,9.1,ERA5,5.11,0.27
1940-02-26 00:00:00+00:00,5.56,0.76,10.08,ERA5,5.19,0.37
1940-02-27 00:00:00+00:00,8.94,5.82,12.7,ERA5,5.27,3.67
1940-02-28 00:00:00+00:00,10.62,8.42,13.55,ERA5,5.36,5.25
1940-02-29 00:00:00+00:00,6.43,2.82,9.34,ERA5,5.41,1.02
1940-03-01 00:00:00+00:00,2.45,0.2,5.31,ERA5,5.46,-3.0
1940-03-02 00:00:00+00:00,0.51,-1.96,3.34,ERA5,5.56,-5.05
1940-03-03 00:00:00+00:00,1.24,-3.73,6.11,ERA5,5.67,-4.43
1940-03-04 00:00:00+00:00,3.76,-1.76,8.74,ERA5,5.77,-2.01
1940-03-05 00:00:00+00:00,2.73,0.13,4.88,ERA5,5.86,-3.12
1940-03-06 00:00:00+00:00,1.86,-0.51,4.71,ERA5,5.93,-4.07
1940-03-07 00:00:00+00:00,0.59,-2.75,3.13,ERA5,6.0,-5.41
1940-03-08 00:00:00+00:00,0.37,-4.02,4.33,ERA5,6.07,-5.7
1940-03-09 00:00:00+00:00,4.13,0.61,8.01,ERA5,6.14,-2.01
1940-03-10 00:00:00+00:00,5.67,2.48,8.7,ERA5,6.23,-0.56
1940-03-11 00:00:00+00:00,9.4,4.73,13.52,ERA5,6.31,3.09
1940-03-12 00:00:00+00:00,10.84,8.05,13.14,ERA5,6.41,4.43
1940-03-13 00:00:00+00:00,10.35,7.14,12.31,ERA5,6.5,3.84
1940-03-14 00:00:00+00:00,5.67,-3.15,10.94,ERA5,6.58,-0.9
1940-03-15 00:00:00+00:00,2.49,-2.69,7.47,ERA5,6.66,-4.17
1940-03-16 00:00:00+00:00,5.47,2.38,9.07,ERA5,6.77,-1.3
1940-03-17 00:00:00+00:00,6.4,3.42,10.09,ERA5,6.87,-0.47
1940-03-18 00:00:00+00:00,14.5,10.04,18.73,ERA5,6.96,7.55
1940-03-19 00:00:00+00:00,10.9,5.5,16.15,ERA5,7.04,3.86
1940-03-20 00:00:00+00:00,8.04,5.95,10.09,ERA5,7.13,0.91
1940-03-21 00:00:00+00:00,8.89,7.28,10.67,ERA5,7.24,1.65
1940-03-22 00:00:00+00:00,10.43,6.16,14.58,ERA5,7.36,3.08
1940-03-23 00:00:00+00:00,9.48,6.44,12.32,ERA5,7.47,2.01
1940-03-24 00:00:00+00:00,9.82,7.48,12.84,ERA5,7.59,2.23
1940-03-25 00:00:00+00:00,11.79,6.91,17.56,ERA5,7.72,4.07
1940-03-26 00:00:00+00:00,12.1,9.15,14.74,ERA5,7.84,4.26
1940-03-27 00:00:00+00:00,4.31,0.92,9.22,ERA5,7.95,-3.65
1940-03-28 00:00:00+00:00,1.6,0.15,3.0,ERA5,8.05,-6.45
1940-03-29 00:00:00+00:00,3.53,-0.04,6.48,ERA5,8.16,-4.63
1940-03-30 00:00:00+00:00,3.42,-0.36,5.64,ERA5,8.27,-4.84
1940-03-31 00:00:00+00:00,8.94,0.67,14.58,ERA5,8.38,0.56
1940-04-01 00:00:00+00:00,12.4,8.13,17.12,ERA5,8.49,3.91
1940-04-02 00:00:00+00:00,8.35,5.56,12.2,ERA5,8.6,-0.25
1940-04-03 00:00:00+00:00,9.02,7.02,12.02,ERA5,8.71,0.31
1940-04-04 00:00:00+00:00,8.83,5.79,12.27,ERA5,8.81,0.02
1940-04-05 00:00:00+00:00,6.99,2.12,9.84,ERA5,8.91,-1.93
1940-04-06 00:00:00+00:00,5.97,3.09,8.43,ERA5,9.02,-3.05
1940-04-07 00:00:00+00:00,6.81,0.49,13.41,ERA5,9.13,-2.32
1940-04-08 00:00:00+00:00,7.16,3.81,11.05,ERA5,9.23,-2.07
1940-04-09 00:00:00+00:00,5.29,1.77,6.81,ERA5,9.34,-4.05
1940-04-10 00:00:00+00:00,4.54,1.34,8.05,ERA5,9.45,-4.91
1940-04-11 00:00:00+00:00,3.42,-0.42,6.64,ERA5,9.56,-6.14
