time,mean,min,max,climatology,anomaly
1940-01-01 00:00:00+00:00,5454.87,5406.59,5498.83,5508.72,-53.85
1940-01-02 00:00:00+00:00,5526.26,5495.48,5548.24,5508.56,17.7
1940-01-03 00:00:00+00:00,5507.85,5475.33,5536.28,5508.36,-0.5
1940-01-04 00:00:00+00:00,5475.64,5457.06,5494.71,5508.54,-32.9
1940-01-05 00:00:00+00:00,5518.67,5499.15,5543.4,5508.6,10.08
1940-01-06 00:00:00+00:00,5565.74,5546.0,5587.64,5508.22,57.52
1940-01-07 00:00:00+00:00,5600.31,5592.79,5617.22,5507.77,92.53
1940-01-08 00:00:00+00:00,5586.57,5566.42,5608.43,5507.21,79.36
1940-01-09 00:00:00+00:00,5595.41,5570.67,5621.96,5506.33,89.09
1940-01-10 00:00:00+00:00,5592.23,5580.61,5602.29,5504.9,87.33
1940-01-11 00:00:00+00:00,5582.92,5564.38,5617.37,5503.3,79.62
1940-01-12 00:00:00+00:00,5655.32,5641.23,5671.39,5502.28,153.04
1940-01-13 00:00:00+00:00,5709.59,5696.74,5721.9,5501.76,207.83
1940-01-14 00:00:00+00:00,5669.37,5630.33,5709.68,5501.25,168.12
1940-01-15 00:00:00+00:00,5518.13,5441.39,5595.52,5501.16,16.97
1940-01-16 00:00:00+00:00,5285.47,5182.16,5390.21,5501.48,-216.01
1940-01-17 00:00:00+00:00,5162.68,5125.0,5211.87,5501.58,-338.9
1940-01-18 00:00:00+00:00,5235.72,5224.76,5248.03,5501.21,-265.49
1940-01-19 00:00:00+00:00,5250.39,5244.41,5253.83,5501.12,-250.73
1940-01-20 00:00:00+00:00,5268.13,5262.09,5272.2,5500.9,-232.77
1940-01-21 00:00:00+00:00,5214.9,5187.58,5252.09,5500.48,-285.58
1940-01-22 00:00:00+00:00,5196.45,5166.37,5242.71,5499.54,-303.08
1940-01-23 00:00:00+00:00,5327.6,5275.35,5386.9,5498.53,-170.93
1940-01-24 00:00:00+00:00,5461.55,5424.67,5500.26,5497.85,-36.31
1940-01-25 00:00:00+00:00,5529.44,5508.18,5546.48,5497.67,31.77
1940-01-26 00:00:00+00:00,5548.51,5539.98,5559.72,5497.76,50.75
1940-01-27 00:00:00+00:00,5477.39,5463.11,5494.02,5497.82,-20.43
1940-01-28 00:00:00+00:00,5491.75,5479.89,5500.47,5497.71,-5.95
1940-01-29 00:00:00+00:00,5441.02,5429.58,5459.56,5496.97,-55.95
1940-01-30 00:00:00+00:00,5400.09,5394.62,5410.35,5495.9,-95.81
1940-01-31 00:00:00+00:00,5371.44,5368.52,5373.64,5494.8,-123.36
1940-02-01 00:00:00+00:00,5352.75,5346.1,5356.57,5493.81,-141.06
1940-02-02 00:00:00+00:00,5406.65,5372.3,5439.06,5493.17,-86.51
1940-02-03 00:00:00+00:00,5442.04,5429.28,5459.61,5492.16,-50.12
1940-02-04 00:00:00+00:00,5429.65,5418.4,5450.29,5491.92,-62.28
1940-02-05 00:00:00+00:00,5454.09,5434.75,5481.49,5492.01,-37.92
1940-02-06 00:00:00+00:00,5505.47,5486.23,5529.1,5492.33,13.14
1940-02-07 00:00:00+00:00,5541.03,5525.13,5547.7,5492.55,48.48
1940-02-08 00:00:00+00:00,5486.62,5475.89,5498.69,5492.98,-6.37
1940-02-09 00:00:00+00:00,5461.5,5417.7,5494.26,5493.52,-32.02
1940-02-10 00:00:00+00:00,5398.92,5378.96,5427.25,5493.94,-95.02
1940-02-11 00:00:00+00:00,5381.34,5343.59,5426.52,5494.25,-112.91
1940-02-12 00:00:00+00:00,5286.39,5255.59,5340.23,5494.73,-208.34
1940-02-13 00:00:00+00:00,5226.65,5207.63,5244.03,5495.56,-268.91
1940-02-14 00:00:00+00:00,5239.2,5195.84,5276.08,5496.82,-257.61
1940-02-15 00:00:00+00:00,5309.0,5286.74,5330.85,5497.38,-188.38
1940-02-16 00:00:00+00:00,5365.13,5339.24,5406.51,5497.92,-132.79
1940-02-17 00:00:00+00:00,5312.32,5286.57,5357.48,5498.55,-186.23
1940-02-18 00:00:00+00:00,5433.98,5373.02,5471.92,5499.69,-65.71
1940-02-19 00:00:00+00:00,5474.52,5458.55,5489.1,5500.33,-25.81
1940-02-20 00:00:00+00:00,5579.4,5521.38,5630.01,5500.95,78.45
1940-02-21 00:00:00+00:00,5694.44,5671.74,5717.64,5501.14,193.31
1940-02-22 00:00:00+00:00,5699.67,5672.31,5726.14,5501.39,198.28
1940-02-23 00:00:00+00:00,5592.64,5560.48,5636.84,5501.49,91.15
1940-02-24 00:00:00+00:00,5518.35,5475.3,5559.03,5501.53,16.83
1940-02-25 00:00:00+00:00,5593.34,5579.01,5608.79,5501.14,92.2
1940-02-26 00:00:00+00:00,5585.42,5578.63,5599.76,5501.13,84.29
1940-02-27 00:00:00+00:00,5551.81,5535.12,5567.38,5501.21,50.6
