# Statistiques journalières de la température de l'air à 2 m à Bruxelles (données ERA5)
AAAA-MM-JJ, moyenne (°C), min (°C), max (°C)
1959-01-01,5.21,2.17,7.06
1959-01-02,4.77,2.06,6.78
1959-01-03,2.33,0.47,3.47
1959-01-04,0.71,-1.04,1.98
1959-01-05,1.67,-0.08,3.04
1959-01-06,3.55,1.64,8.2
1959-01-07,5.38,1.32,9.18
1959-01-08,1.69,0.04,3.67
1959-01-09,0.36,-1.91,1.72
1959-01-10,-0.26,-1.75,1.69
1959-01-11,-2.38,-4.08,-0.62
1959-01-12,-0.1,-2.21,1.46
1959-01-13,0.54,-0.61,1.83
1959-01-14,-0.59,-2.85,0.99
1959-01-15,-2.17,-5.5,0.44
1959-01-16,-1.48,-4.35,2.07
1959-01-17,-2.34,-6.34,0.61
1959-01-18,0.56,-0.67,1.8
1959-01-19,4.39,1.36,7.5
1959-01-20,8.55,7.16,10.69
1959-01-21,7.48,5.84,8.77
1959-01-22,9.72,7.62,12.16
1959-01-23,5.9,3.29,9.76
1959-01-24,1.91,-0.02,4.22
1959-01-25,1.01,-1.14,4.54
1959-01-26,-0.97,-3.97,1.84
1959-01-27,0.54,-2.59,4.96
1959-01-28,0.89,-2.72,6.17
1959-01-29,-0.7,-4.0,5.53
1959-01-30,-2.66,-4.53,-1.48
1959-01-31,0.98,-1.71,4.09
1959-02-01,-0.45,-2.5,1.99
1959-02-02,-1.52,-3.48,0.71
1959-02-03,-1.7,-4.15,1.46
1959-02-04,-0.36,-2.81,3.72
1959-02-05,-1.26,-4.6,3.15
1959-02-06,-2.59,-4.11,0.1
1959-02-07,-3.96,-6.11,-1.39
1959-02-08,-3.24,-5.35,0.34
1959-02-09,-2.84,-5.51,-0.45
1959-02-10,0.97,-1.24,3.68
1959-02-11,-1.42,-2.09,-0.19
1959-02-12,0.01,-1.09,1.45
1959-02-13,-1.09,-2.61,-0.0
1959-02-14,-1.4,-4.94,2.91
1959-02-15,-1.49,-4.5,3.04
1959-02-16,-0.45,-3.61,5.15
1959-02-17,1.4,-0.85,3.57
1959-02-18,0.96,-1.52,4.14
1959-02-19,-0.82,-3.11,2.15
1959-02-20,3.56,-1.95,9.14
1959-02-21,4.89,2.46,7.48
1959-02-22,5.11,3.2,6.42
1959-02-23,6.84,5.51,8.57
1959-02-24,5.45,1.89,8.87
1959-02-25,3.84,-0.7,10.04
1959-02-26,6.31,-1.37,13.5
1959-02-27,8.52,3.31,15.43
1959-02-28,9.35,4.17,17.22
1959-03-01,8.71,1.89,15.61
1959-03-02,9.84,4.92,15.02
1959-03-03,9.94,7.84,11.76
1959-03-04,9.61,8.32,11.22
