# Statistiques journalières de la température de l'air à 2 m à Sigy-le-Châtel (données ERA5)
AAAA-MM-JJ, moyenne (°C), min (°C), max (°C)
1959-01-01,5.34,-0.17,7.58
1959-01-02,3.4,0.1,7.22
1959-01-03,3.14,1.92,4.5
1959-01-04,1.64,-2.56,3.48
1959-01-05,0.29,-2.13,2.76
1959-01-06,4.2,1.28,5.61
1959-01-07,7.05,5.83,8.72
1959-01-08,2.58,0.11,7.05
1959-01-09,0.35,-1.21,1.5
1959-01-10,0.09,-0.78,0.79
1959-01-11,-0.26,-1.29,0.85
1959-01-12,-0.84,-3.15,0.43
1959-01-13,-0.87,-3.51,1.68
1959-01-14,3.88,0.34,10.26
1959-01-15,7.04,5.94,9.44
1959-01-16,0.73,-2.24,6.78
1959-01-17,-0.18,-2.05,1.79
1959-01-18,0.99,-1.8,4.88
1959-01-19,6.33,1.68,9.13
1959-01-20,9.32,7.66,10.77
1959-01-21,9.23,6.57,11.83
1959-01-22,11.96,9.72,15.19
1959-01-23,10.8,7.85,13.0
1959-01-24,5.95,2.76,9.9
1959-01-25,1.85,-0.02,3.29
1959-01-26,1.55,-0.05,3.99
1959-01-27,2.03,-0.36,5.82
1959-01-28,1.83,-1.3,6.21
1959-01-29,2.03,-0.09,5.28
1959-01-30,3.2,-0.51,6.02
1959-01-31,0.86,-0.32,2.47
1959-02-01,0.51,-0.74,1.59
1959-02-02,1.26,-1.04,3.31
1959-02-03,1.05,-1.91,3.85
1959-02-04,1.57,-0.37,5.0
1959-02-05,4.4,0.72,9.25
1959-02-06,3.5,0.35,9.2
1959-02-07,4.54,0.81,10.15
1959-02-08,6.9,3.61,12.03
1959-02-09,7.42,3.46,10.54
1959-02-10,5.94,1.98,11.35
1959-02-11,5.2,3.48,7.37
1959-02-12,3.56,1.22,6.13
1959-02-13,2.85,0.54,7.01
1959-02-14,3.02,0.73,6.1
1959-02-15,2.94,0.17,7.19
1959-02-16,3.53,-1.04,8.1
1959-02-17,4.49,-0.13,8.85
1959-02-18,4.65,0.76,9.35
1959-02-19,6.23,1.81,10.63
1959-02-20,5.44,-0.39,12.01
1959-02-21,4.82,3.32,6.79
1959-02-22,6.3,3.76,8.95
1959-02-23,6.29,2.69,10.05
1959-02-24,5.23,-0.89,11.3
1959-02-25,6.71,0.91,13.79
1959-02-26,8.83,2.98,13.91
1959-02-27,8.65,4.44,14.29
1959-02-28,8.73,2.81,15.92
1959-03-01,8.96,3.96,14.37
1959-03-02,9.63,5.19,14.68
1959-03-03,10.93,8.22,13.2
1959-03-04,8.5,5.61,11.19
1959-03-05,11.49,6.63,14.67
1959-03-06,11.7,9.71,15.09
1959-03-07,9.12,7.75,10.71
1959-03-08,8.77,6.28,11.88
1959-03-09,8.64,4.17,12.96
1959-03-10,9.73,7.52,12.59
1959-03-11,10.87,6.55,15.34
1959-03-12,7.97,6.05,9.93
1959-03-13,6.74,4.04,9.2
1959-03-14,6.04,2.79,9.0
1959-03-15,5.69,1.82,9.56
1959-03-16,4.68,1.31,7.94
1959-03-17,4.96,1.54,8.79
1959-03-18,7.3,1.67,12.89
1959-03-19,10.1,5.86,14.57
1959-03-20,10.61,7.31,15.45
1959-03-21,12.24,7.62,17.56
1959-03-22,11.33,10.46,12.56
1959-03-23,12.02,9.4,15.68
1959-03-24,12.4,9.4,16.25
1959-03-25,9.34,6.33,11.6
1959-03-26,8.52,4.74,12.32
1959-03-27,9.81,5.04,12.81
1959-03-28,10.7,8.82,12.6
1959-03-29,10.04,6.48,12.32
1959-03-30,8.36,5.41,10.7
1959-03-31,9.72,6.35,13.6
1959-04-01,10.79,4.91,15.63
1959-04-02,11.77,5.84,16.6
1959-04-03,11.7,5.28,17.44
1959-04-04,14.32,6.32,20.8
1959-04-05,13.69,7.08,19.86
1959-04-06,12.29,7.28,17.36
1959-04-07,9.06,7.47,10.56
1959-04-08,11.36,7.61,15.48
1959-04-09,9.07,5.44,11.29
1959-04-10,6.79,4.88,10.09
1959-04-11,9.29,5.72,12.76
1959-04-12,13.86,9.0,18.41
1959-04-13,14.59,9.1,19.17
1959-04-14,16.81,12.34,21.16
1959-04-15,14.41,11.91,16.97
1959-04-16,10.73,8.02,13.73
1959-04-17,9.02,7.85,10.53
1959-04-18,9.98,8.13,11.16
1959-04-19,7.07,5.39,8.79
1959-04-20,6.91,4.44,9.04
1959-04-21,6.45,2.45,9.98
1959-04-22,7.25,1.54,11.96
1959-04-23,8.38,2.18,14.36
1959-04-24,10.94,2.76,17.32
1959-04-25,13.13,7.02,19.18
1959-04-26,11.33,8.84,13.69
1959-04-27,11.23,6.63,15.01
1959-04-28,10.86,9.2,13.64
1959-04-29,11.36,9.17,14.08
1959-04-30,7.17,5.69,9.37
1959-05-01,7.87,5.54,10.79
1959-05-02,9.13,6.64,11.14
1959-05-03,9.95,5.35,14.16
1959-05-04,10.72,4.21,16.31
1959-05-05,13.45,7.35,18.91
1959-05-06,15.16,9.9,19.9
1959-05-07,15.1,10.12,19.34
1959-05-08,17.07,11.72,21.69
1959-05-09,17.71,12.62,22.56
1959-05-10,17.46,12.29,22.82
1959-05-11,17.65,11.48,23.3
1959-05-12,17.65,12.13,22.62
1959-05-13,17.03,12.29,21.73
